RelativePath,Filename,PlotSize,FloorLevel,PlanType,FP_Number,Version,TargetWidth,TargetHeight,Count_Amber,Count_Backyard,Count_Bathroom,Count_Bedroom,Count_Dining,Count_Drawing Room,Count_Dressing Area,Count_Garage,Count_Kitchen,Count_Laundry,Count_Lawn,Count_Library,Count_Lobby,Count_Lounge/Sitting Area,Count_Open Space,Count_Passage,Count_Prayer Room,Count_Servant Quarters,Count_Side Garden,Count_Staircase,Count_Stairs,Count_Storage Room/Store
5_marla/5Marla_GF_FP_001_V01.png,5Marla_GF_FP_001_V01.png,5Marla,GF,FP,1,V01,608,1088,0,0,3,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,16,0
5_marla/5Marla_GF_FP_002_V01.png,5Marla_GF_FP_002_V01.png,5Marla,GF,FP,2,V01,608,1088,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,23,0
5_marla/5Marla_GF_FP_003_V01.png,5Marla_GF_FP_003_V01.png,5Marla,GF,FP,3,V01,608,1088,0,0,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,13,0
5_marla/5Marla_GF_FP_004_V01.png,5Marla_GF_FP_004_V01.png,5Marla,GF,FP,4,V01,608,1088,0,0,2,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,21,0
5_marla/5Marla_GF_FP_005_V01.png,5Marla_GF_FP_005_V01.png,5Marla,GF,FP,5,V01,608,1088,0,0,4,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,21,0
5_marla/5Marla_GF_FP_006_V01.png,5Marla_GF_FP_006_V01.png,5Marla,GF,FP,6,V01,608,1088,0,0,2,2,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,13,0
5_marla/5Marla_GF_FP_007_V01.png,5Marla_GF_FP_007_V01.png,5Marla,GF,FP,7,V01,608,1088,0,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,19,0
5_marla/5Marla_GF_FP_008_V01.png,5Marla_GF_FP_008_V01.png,5Marla,GF,FP,8,V01,608,1088,0,0,2,2,0,0,0,2,1,0,0,0,1,1,1,0,1,0,0,0,19,1
5_marla/5Marla_GF_FP_009_V01.png,5Marla_GF_FP_009_V01.png,5Marla,GF,FP,9,V01,608,1088,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,19,0
5_marla/5Marla_GF_FP_010_V01.png,5Marla_GF_FP_010_V01.png,5Marla,GF,FP,10,V01,608,1088,0,0,2,2,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,15,0
10_marla/10Marla_GF_FP_001_V01.png,10Marla_GF_FP_001_V01.png,10Marla,GF,FP,1,V01,849,1570,0,0,2,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,14,0
10_marla/10Marla_GF_FP_002_V01.png,10Marla_GF_FP_002_V01.png,10Marla,GF,FP,2,V01,849,1570,0,0,3,2,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,6,0
10_marla/10Marla_GF_FP_003_V01.png,10Marla_GF_FP_003_V01.png,10Marla,GF,FP,3,V01,849,1570,0,0,2,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,9,0
10_marla/10Marla_GF_FP_004_V01.png,10Marla_GF_FP_004_V01.png,10Marla,GF,FP,4,V01,849,1570,0,0,3,2,1,1,0,1,1,0,0,0,0,1,70,0,0,0,0,0,25,0
10_marla/10Marla_GF_FP_005_V01.png,10Marla_GF_FP_005_V01.png,10Marla,GF,FP,5,V01,849,1570,0,0,2,2,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,19,0
10_marla/10Marla_GF_FP_006_V01.png,10Marla_GF_FP_006_V01.png,10Marla,GF,FP,6,V01,849,1570,0,0,3,2,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,25,0
10_marla/10Marla_GF_FP_007_V01.png,10Marla_GF_FP_007_V01.png,10Marla,GF,FP,7,V01,849,1570,0,0,3,2,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,9,0
10_marla/10Marla_GF_FP_008_V01.png,10Marla_GF_FP_008_V01.png,10Marla,GF,FP,8,V01,849,1570,0,0,2,2,0,1,2,1,1,0,1,0,1,1,0,2,0,0,0,0,15,1
10_marla/10Marla_GF_FP_009_V01.png,10Marla_GF_FP_009_V01.png,10Marla,GF,FP,9,V01,849,1570,0,0,3,3,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,17,0
10_marla/10Marla_GF_FP_010_V01.png,10Marla_GF_FP_010_V01.png,10Marla,GF,FP,10,V01,849,1570,0,0,3,3,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,18,0
20_marla/20Marla_GF_FP_001_V01.png,20Marla_GF_FP_001_V01.png,20Marla,GF,FP,1,V01,1209,2170,0,0,2,2,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,19,0
20_marla/20Marla_GF_FP_002_V01.png,20Marla_GF_FP_002_V01.png,20Marla,GF,FP,2,V01,1209,2170,0,0,3,3,0,1,2,1,1,0,1,0,1,0,0,1,0,0,0,1,16,1
20_marla/20Marla_GF_FP_003_V01.png,20Marla_GF_FP_003_V01.png,20Marla,GF,FP,3,V01,1209,2170,0,0,2,2,1,1,2,1,1,0,1,0,1,1,0,1,0,0,0,1,16,0
20_marla/20Marla_GF_FP_004_V01.png,20Marla_GF_FP_004_V01.png,20Marla,GF,FP,4,V01,1209,2170,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,24,0
20_marla/20Marla_GF_FP_005_V01.png,20Marla_GF_FP_005_V01.png,20Marla,GF,FP,5,V01,1209,2170,0,0,2,2,1,1,0,1,1,0,1,0,0,1,0,2,0,0,0,1,22,0
20_marla/20Marla_GF_FP_006_V01.png,20Marla_GF_FP_006_V01.png,20Marla,GF,FP,6,V01,1209,2170,0,0,2,2,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,20,0
20_marla/20Marla_GF_FP_007_V01.png,20Marla_GF_FP_007_V01.png,20Marla,GF,FP,7,V01,1209,2170,0,0,2,2,0,1,1,1,1,0,1,0,1,1,0,2,0,0,1,1,17,1
20_marla/20Marla_GF_FP_008_V01.png,20Marla_GF_FP_008_V01.png,20Marla,GF,FP,8,V01,1209,2170,0,0,3,3,1,1,3,1,1,0,1,0,1,1,0,1,0,0,0,1,19,0
20_marla/20Marla_GF_FP_009_V01.png,20Marla_GF_FP_009_V01.png,20Marla,GF,FP,9,V01,1209,2170,0,0,3,3,1,1,2,1,1,0,1,0,0,1,0,2,0,0,0,1,15,1
20_marla/20Marla_GF_FP_010_V01.png,20Marla_GF_FP_010_V01.png,20Marla,GF,FP,10,V01,1209,2170,0,0,2,2,1,1,0,1,1,0,1,0,0,1,0,3,0,0,0,1,22,0
