RelativePath,Filename,PlotSize,FloorLevel,PlanType,FP_Number,Version,TargetWidth,TargetHeight,Count_Amber,Count_Backyard,Count_Bathroom,Count_Bedroom,Count_Dining,Count_Drawing Room,Count_Dressing Area,Count_Garage,Count_Kitchen,Count_Laundry,Count_Lawn,Count_Library,Count_Lobby,Count_Lounge/Sitting Area,Count_Open Space,Count_Passage,Count_Prayer Room,Count_Servant Quarters,Count_Side Garden,Count_Staircase,Count_Stairs,Count_Storage Room/Store
5_marla/5Marla_GF_FP_001_V01.png,5Marla_GF_FP_001_V01.png,5Marla,GF,FP,1,V01,608,1088,0,0,3,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,16,0
5_marla/5Marla_GF_FP_001_V02.png,5Marla_GF_FP_001_V02.png,5Marla,GF,FP,1,V02,608,1088,0,0,3,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,16,0
5_marla/5Marla_GF_FP_001_V03.png,5Marla_GF_FP_001_V03.png,5Marla,GF,FP,1,V03,608,1088,0,0,3,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,16,0
5_marla/5Marla_GF_FP_001_V04.png,5Marla_GF_FP_001_V04.png,5Marla,GF,FP,1,V04,608,1088,0,0,3,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,16,0
5_marla/5Marla_GF_FP_002_V01.png,5Marla_GF_FP_002_V01.png,5Marla,GF,FP,2,V01,608,1088,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,23,0
5_marla/5Marla_GF_FP_002_V02.png,5Marla_GF_FP_002_V02.png,5Marla,GF,FP,2,V02,608,1088,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,23,0
5_marla/5Marla_GF_FP_002_V03.png,5Marla_GF_FP_002_V03.png,5Marla,GF,FP,2,V03,608,1088,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,23,0
5_marla/5Marla_GF_FP_002_V04.png,5Marla_GF_FP_002_V04.png,5Marla,GF,FP,2,V04,608,1088,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,23,0
5_marla/5Marla_GF_FP_003_V01.png,5Marla_GF_FP_003_V01.png,5Marla,GF,FP,3,V01,608,1088,0,0,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,13,0
5_marla/5Marla_GF_FP_003_V02.png,5Marla_GF_FP_003_V02.png,5Marla,GF,FP,3,V02,608,1088,0,0,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,13,0
